Your company, CloudSnap Technologies, manages all service accounts in a project called central-sa. You need to enable a service account from central-sa to take snapshots of virtual machines (VMs) running in a separate project called prod-vm. What steps should you take to achieve this?;Grant the service account the IAM role of Compute Storage Admin in the project called prod-vm.;Download the private key from the service account and add it to each VM’s custom metadata.;Download the private key from the service account and add it to each VM’s SSH keys.;When creating the VMs, set the service account's API scope for Compute Engine to read/write.
Your company, InstaInsights, developed a popular analytics platform that processes data from various sources using BigQuery as its main data warehouse. Different teams from sales, marketing, and finance departments frequently run queries on the data. However, you have noticed that the costs associated with these queries are becoming excessive, and you need to implement strategies to control these expenses. Which two methods would be most effective in reducing costs?;Apply custom query quotas for BigQuery at the user or project level;Switch from an on-demand pricing model to a flat-rate pricing model and allocate slots appropriately for predictable spending.;Split the users from different departments into multiple projects.;Create separate instances of your BigQuery data warehouse for each department.;Divide your BigQuery data warehouse into smaller, separate data warehouses for each department.
Imagine you are developing a cloud-based platform called CodeHive, where different clients can run their own code in isolated environments. Each client has a dedicated pod running on a shared Google Kubernetes Engine (GKE) cluster. Since clients can execute arbitrary code within their respective pods, your goal is to enhance the isolation between these environments to maintain security and separation. What is the best way to ensure the maximum level of isolation between your clients' pods?;- Set up a GKE node pool with gvisor as the sandbox type. - Configure your clients' pods to use gvisor by adding the runtimeClassName: gvisor parameter to their specifications.;Use Binary Authorization to whitelist only the container images that are allowed to run inside your clients' pods.;Use the Container Analysis API to identify vulnerabilities in the containers running your clients' code.;- Use the cos_containerd image for your GKE nodes. - Add a nodeSelector specifying cloud.google.com/gke-os-distribution: cos_containerd in the pod specifications.
You are managing a global platform called PixelWear, which allows users worldwide to design and customize their own apparel. Lately, you've observed that some of the users are experiencing read latency issues when accessing data from a particular table. The data is primarily accessed using the primary key. The table schema is given below. What should you do to resolve the performance issues?;Make sure the primary key does not have monotonically increasing values.;avatar_image is a byte field. Removing it will improve performance.;Add a new secondary index on the designer_id column.;Use the Data Definition Language (DDL) to create a secondary index and access it via the primary key.
The accounting department at ZenoTech, a startup that provides AI-driven home automation systems, needs to access the billing report for all ZenoTech projects. However, you want to ensure that they only have access to the billing information without receiving any additional permissions to modify or manage project resources. What should you do?;Add the group for the accounting department to roles/billing.viewer role.;Add the group for the accounting department to roles/billing.user role.;Add the group for the accounting department to roles/billing.admin role.;Add the group for the accounting department to roles/billing.projectManager role.
PlutoNet, a company specializing in social media analytics, has strict requirements to control access to its Google Cloud projects. You need to ensure that your Site Reliability Engineers (SREs) can approve requests from the Google Cloud support team whenever an SRE opens a support case. You want to follow Google-recommended best practices for handling these approvals. What should you do?;Add your SREs to a group and then add this group to roles/accessapproval.approver role.;Add your SREs to roles/iam.roleAdmin role.;Add your SREs to roles/accessapproval.approver role.;Add your SREs to a group and then add this group to roles/iam.roleAdmin role.
You are managing the infrastructure of an online platform called "SkylineStream," which operates a video streaming service across several regions. The resources for this platform are spread across different Google Cloud projects. You want to consolidate monitoring for all these projects under one unified Stackdriver Monitoring dashboard. How would you achieve this?;Configure a single Stackdriver Monitoring account, and link all projects to the same account.;Use Shared VPC to connect all projects, and link Stackdriver Monitoring to one of the projects.;- For each project, create a Stackdriver account. - In each project, create a service account for that project and grant it the role of Stackdriver Account Editor in all other projects.;- Configure a single Stackdriver Monitoring account for one of the projects. - In Stackdriver, create a Group and add the other project names as criteria for that Group.
You are assisting a small tech startup, Codify Inc, which is launching a new productivity app hosted on a virtual private cloud (VPC) behind a firewall. The team is concerned about controlling data leaving the VPC (egress traffic) to ensure security. You need to configure the fewest number of open egress ports while keeping the app functional. What is the best way to achieve this?;Set up a low-priority (65534) rule that blocks all egress and a high-priority rule (1000) that allows only the appropriate ports.;Set up a high-priority (1000) rule that pairs both ingress and egress ports.;Set up a high-priority (1000) rule that blocks all egress and a low-priority (65534) rule that allows only the appropriate ports.;Set up a high-priority (1000) rule to allow the appropriate ports.
Your team at TrendyPix, a fictional photo-sharing app, is working on a new feature that should automatically process images whenever a user uploads a file to your Cloud Storage bucket. You have written a code snippet that will handle this image processing, and now you need to deploy it to ensure it gets triggered every time a new image is uploaded. What should you do?;Use Cloud Functions and configure the bucket as a trigger resource.;Use App Engine and configure Cloud Scheduler to trigger the application using Pub/Sub.;Use Google Kubernetes Engine and configure a CronJob to trigger the application using Pub/Sub.;Use Dataflow as a batch job, and configure the bucket as a data source.
Your team at a fictional company, BlueSkies Tech, has recently expanded its user base, and you want to track when users were added to specific Cloud Spanner Identity and Access Management (IAM) roles for better governance. You need to find this information using the Google Cloud Platform (GCP) Console. What should you do?;Go to the Stackdriver Logging console, review admin activity logs, and filter them for Cloud Spanner IAM roles.;Open the Cloud Spanner console to review configurations.;Open the IAM & admin console to review IAM policies for Cloud Spanner roles.;Go to the Stackdriver Monitoring console and review information for Cloud Spanner.
TechCorp, a startup specializing in data analytics, is working on a new cloud-based app called DataSnap. The app collects large amounts of data from IoT devices and stores them in Cloud Storage buckets. The data is written once and accessed frequently for the first 30 days, after which it becomes rarely accessed unless required for a specific audit or review. However, for compliance reasons, the data must be retained for a total of three years. Your goal is to configure an Object Lifecycle Management policy that minimizes storage costs while meeting these requirements. What should you do?;Set up a policy that uses Standard storage for 30 days and then moves to Archive storage for three years.;Set up a policy that uses Nearline storage for 30 days and then moves to Archive storage for three years.;Set up a policy that uses Nearline storage for 30 days, then moves to Coldline for one year, and then moves to Archive storage for two years.;Set up a policy that uses Standard storage for 30 days, then moves to Coldline for one year, and then moves to Archive storage for two years.
Treetop Technologies, a startup that manages wildlife monitoring data, needs to store sensitive information in a Cloud Storage bucket. Due to strict legal regulations, they must ensure that every request to read the stored data is recorded for auditing purposes. They need a solution that ensures compliance with these requirements. What should they do?;Enable Data Access audit logs for the Cloud Storage API.;Enable the Identity Aware Proxy API on the project.;Scan the bucket using the Data Loss Prevention API.;Allow only a single Service Account access to read the data.
You are the IT manager for a startup called "NextStep Innovations," which focuses on building cutting-edge productivity apps. You have a team of 10 developers, and you've provided each of them with their own Google Cloud project as a personal sandbox to test new app features and experiment with various cloud services. Your goal is to be alerted if any of the developers exceed $650 in monthly spending on their sandbox environments. What should you do?;Create a budget per project and configure budget alerts on all of these budgets.;Create a single budget for all projects and configure budget alerts on this budget.;- Create a separate billing account per sandbox project and enable BigQuery billing exports. - Create a Data Studio dashboard to plot the spending per billing account.;- Create a single billing account for all sandbox projects and enable BigQuery billing exports. - Create a Data Studio dashboard to plot the spending per project.
A company called BrightWave is deploying its customer-facing web application on Compute Engine. The team wants to ensure that no one accidentally deletes a virtual machine instance by mistakenly clicking a button in the management console. How can they prevent this from happening?;Enable delete protection on the instance.;Disable the option "Delete boot disk when instance is deleted.";Disable Automatic restart on the instance.;Enable Preemptibility on the instance.
Metaverse Magic, a rapidly growing virtual world platform, relies heavily on various Google Cloud services that are managed within a single production project. Each development team has its own separate projects for testing and development environments. The Operations team, responsible for deployment and monitoring, needs access to all services in the production project to perform their duties effectively. To ensure security and prevent unintended permission escalation caused by future updates to Google Cloud products, you want to apply the best practices recommended by Google. What should you do?;- Create a custom role that combines the required permissions. - Grant the Operations team the custom role on the production project.;Grant all members of the Operations team the role of Project Editor on the organization level.;Grant all members of the Operations team the role of Project Editor on the production project.;- Create a custom role that combines the required permissions. - Grant the Operations team the custom role on the organization level.
You are working with a digital photo-sharing app called SnapSave, which allows users to store and archive their high-resolution images. SnapSave needs to ensure compliance with local data regulations by storing all user photos in a single geographic region. After 30 days of being uploaded, these images are considered archived, but they must be accessible once a year for viewing. How should you configure the storage solution for SnapSave?;- Select Regional Storage. - Add a bucket lifecycle rule that archives data after 30 days to Coldline Storage.;- Select Multi-Regional Storage. - Add a bucket lifecycle rule that archives data after 30 days to Coldline Storage.;- Select Multi-Regional Storage. - Add a bucket lifecycle rule that archives data after 30 days to Nearline Storage.;- Select Regional Storage. - Add a bucket lifecycle rule that archives data after 30 days to Nearline Storage.
Your startup, SolarWaveTech, manages its Linux workloads on Compute Engine instances. You are collaborating with a new maintenance partner who does not use Google Accounts. You need to provide access to the Compute Engine instances so the partner can maintain the existing software and tools. What should you do?;- Ask the maintenance partner to generate SSH key pairs. - Add the public keys to the VM instances.;- Enable Cloud IAP for the Compute Engine instances. - Add the maintenance partner as a Cloud IAP Tunnel User.;- Tag all the instances with the same network tag. - Create a firewall rule in the VPC to grant TCP access on port 22 for traffic from the maintenance partner to instances with the network tag.;Set up a Cloud VPN between your Google Cloud VPC and the internal network of the maintenance partner.
You are working on a task management web app called TaskHive, which runs on App Engine. TaskHive needs to send and receive messages using Cloud Pub/Sub for managing task notifications. However, you discover that the Cloud Pub/Sub API is disabled for your project. You plan to use a service account to authenticate TaskHive to the Cloud Pub/Sub API. What steps should you take to ensure TaskHive can use Cloud Pub/Sub?;Enable the Cloud Pub/Sub API in the API Library on the GCP Console.;Rely on the automatic enablement of the Cloud Pub/Sub API when the Service Account accesses it.;- Use Deployment Manager to deploy your application. - Rely on the automatic enablement of all APIs used by the application being deployed.;- Grant the App Engine Default service account the role of Cloud Pub/Sub Admin. - Have your application enable the API on the first connection to Cloud Pub/Sub.
You manage an online booking platform called QuickStay, hosted on Cloud Run, which serves a few hundred users. Recently, some customers have reported that the initial load time of the homepage is significantly slower compared to the subsequent pages. You decide to follow Google's best practices to resolve the issue. What should you do?;Set the minimum number of instances for your Cloud Run service to 3.;Set the concurrency number to 1 for your Cloud Run service.;Set the maximum number of instances for your Cloud Run service to 100.;Update your web application to use the protocol HTTP/2 instead of HTTP/1.1.
You are developing a smart logistics tracking system for your global fleet management company. The tracking system collects data from millions of GPS devices and sensors installed in your vehicles, continuously streaming structured and unstructured data to your cloud infrastructure. Your goal is to create a highly available and resilient architecture following the best practices recommended by Google Cloud. What steps should you take?;Stream data to Pub/Sub, and use Dataflow to send data to Cloud Storage.;Stream data to Pub/Sub, and use Storage Transfer Service to send data to BigQuery.;Stream data to Dataflow, and use Dataprep by Trifacta to send data to Bigtable.;Stream data to Dataflow, and use Storage Transfer Service to send data to BigQuery.
You are working for a fictional fitness center called Peak Health Gym, which stores its member workout videos and training data in an on-premises data room. The gym wants to transition to using Cloud Storage for long-term archival storage of these videos. They also need an automated solution to upload any new workout videos to Cloud Storage as soon as they are generated. You are tasked with designing and implementing this solution. What should you do?;- Create a script that uses the gcloud storage command to synchronize the on-premises storage with Cloud Storage. - Schedule the script as a cron job.;- Create a Pub/Sub topic, and enable a Cloud Storage trigger for the Pub/Sub topic. - Create an application that sends all workout videos to the Pub/Sub topic.;- Create a Pub/Sub topic, and create a Cloud Function connected to the topic that writes data to Cloud Storage. - Create an application that sends all workout videos to the Pub/Sub topic.;- In the Google Cloud console, go to Cloud Storage. - Upload the relevant videos to the appropriate bucket.
Your startup, "EcoTech Innovations," is building a platform to monitor and optimize energy usage across multiple facilities. You want to streamline the process of deploying and managing numerous Google Cloud resources in a standardized way using Infrastructure as Code. The goal is to reduce redundant code and simplify the maintenance of your cloud environment. What should you do?;Develop templates for the environment using Cloud Deployment Manager.;Use curl in a terminal to send a REST request to the relevant Google API for each individual resource.;Use the Cloud Console interface to provision and manage all related resources.;Create a bash script that contains all requirement steps as gcloud commands.
TidalMart, a fictional online marketplace, runs a critical batch process on their local servers that takes around 20 hours to complete. This task is performed monthly, can operate offline, and must be restarted from the beginning if it gets interrupted. They are looking to move this process to the cloud in a way that reduces costs. What should TidalMart do?;- Create an Instance Template with Spot VMs enabled. - Set up a Managed Instance Group from the template and fine-tune the Target CPU Utilization. - Migrate the batch process.;- Move the batch process to a Compute Engine VM. - Manually start and stop the instance as required.;Transfer the process to a Google Kubernetes Engine (GKE) cluster utilizing Spot nodes.;Migrate the batch process to a Compute Engine Spot VM.
TechWorld Solutions, a fictional e-commerce company, is planning to migrate its on-premises data management systems to Google Cloud. Their current setup is mentioned below. TechWorld wants to follow Google’s best practices for migration, ensuring that its new cloud infrastructure scales globally while requiring minimal operational management. What steps should TechWorld take to achieve this?;- Migrate from MySQL to Cloud Spanner - From Kafka to Pub/Sub - From PostgreSQL to BigQuery.;- Migrate from MySQL to Cloud SQL - From Kafka to Pub/Sub - From PostgreSQL to BigQuery.;- Migrate from MySQL to Cloud Spanner - From Kafka to Memorystore - From PostgreSQL to Cloud SQL.;- Migrate from MySQL to Cloud SQL - From Kafka to Memorystore - From PostgreSQL to Cloud SQL.
Your startup, QuickMeals, runs an important recipe recommendation engine on a single Compute Engine VM instance. Your company's business continuity guidelines require you to back up the entire disk of the VM daily. These backups must be kept for 7 days, and you need a solution that adheres to your security policies with minimal setup and management effort. What should you do?;Configure daily scheduled persistent disk snapshots with a retention period of 7 days.;Configure the instance to use persistent disk asynchronous replication.;Configure Cloud Scheduler to trigger a Cloud Function each day that creates a new machine image and deletes machine images that are older than 7 days.;- Configure a bash script using gsutil to run daily through a cron job. - Copy the disk’s files to a Cloud Storage bucket with an archive storage class and an object lifecycle rule to delete the objects after 7 days.
Your company, WebServe Solutions, requires that all services deployed in Google Cloud follow specific configurations to meet internal security policies. You need to set up a process that ensures software engineers can deploy and update Google Cloud services in a way that aligns with these pre-approved configurations. What should you do?;- Create Terraform modules using the Google Cloud Terraform Provider to configure Google Cloud services. - Store and share the modules in a source code repository.;- Create Java packages that use the Google Cloud Client Libraries for Java to configure Google Cloud services. - Store and share the packages in a source code repository.;- Create bash scripts that use the Google Cloud CLI to configure Google Cloud services. - Store and share the bash scripts in a source code repository.;- Use Google Cloud APIs with curl commands to configure Google Cloud services. - Store and share the curl commands in a source code repository.
You are the cloud administrator for a company called Vertex Innovations. You need to implement organization policies and log sinks on Vertex Innovations' cloud projects to align with security guidelines. The security requirements differ across the company's various divisions. Each division has a user with the Project Owner role assigned to their respective cloud projects. What should you do?;- Group projects into folders for each division. - Set both organization policies and log sinks at the folder level.;- Use a consistent project naming convention that includes the division name. - Set organization policies at the organization level and log sinks on the projects.;- Use a consistent project naming convention that includes the division name. - Set both organization policies and log sinks on the projects.;- Group projects into folders for each division. - Set organization policies at the organization level and log sinks at the folder level.
Imagine you’re building an application called FreshFiles, which allows vendors to upload inventory and pricing files for a marketplace. The primary goals for FreshFiles are to ensure data security by allowing each vendor to access only their own files, to limit file upload access to a 30-minute window, and to automatically delete files that are over 50 days old. Given a tight development timeline, the solution should be low-maintenance and efficient. Which two strategies would best achieve this?;Build a lifecycle policy to delete Cloud Storage objects after 50 days;Use signed URLs to allow vendors limited-time access for uploading their files.;Set up an SFTP server for FreshFiles, creating a separate user for each vendor.;Build a Cloud Function that starts a 50-day timer to delete files after expiration.;Develop a script that checks all Cloud Storage buckets and deletes files older than 50 days.
You are deploying a video streaming platform called StreamFlix using Compute Engine. You created a managed instance group (MIG) to host the platform's backend services. You want to follow Google-recommended practices to ensure StreamFlix is both secure and highly available. What should you do?;Use HTTP(S) load balancing for the MIG and an A record in your DNS public zone with the load balancer’s IP address.;Use SSL proxy load balancing for the MIG and an A record in your DNS private zone with the load balancer's IP address.;Use SSL proxy load balancing for the MIG and a CNAME record in your DNS public zone with the load balancer’s IP address.;Use HTTP(S) load balancing for the MIG and a CNAME record in your DNS private zone with the load balancer’s IP address.
Your company, VirtualMart, an online marketplace for digital goods, recently conducted an internal security review of its Google Cloud resources. During the audit, it was discovered that several users with email addresses outside of the VirtualMart corporate domain had access to sensitive resources. You want to ensure that only users with email addresses that match your company's domain can access your resources moving forward. Additionally, you want to avoid manually identifying and removing mismatched users from your current resources. What is the best approach?;Set an organizational policy constraint to limit access based on email domain, and then manually remove the existing users with mismatched domains.;- Create a Cloud Scheduler task to regularly scan your projects - Remove any users with email addresses that do not match the domain.;- Create a Cloud Scheduler task to regularly scan your resources - Remove any users with mismatched email addresses.;Set an organizational policy constraint to limit access based on email domain, automatically removing any users that do not match the domain.
Your company, ByteStream Studios, develops a range of apps, including the popular Skyboard task management app. The company has a policy requiring all developers to have the same permissions regardless of the project they are working on within your cloud environment. The security team also mandates that developer access should only include permissions to work on Compute Engine, Cloud Functions, and Cloud SQL resources. You want to ensure this policy is implemented efficiently, with the least amount of effort. What should you do?;- Add all developers to a Google group in Cloud Identity. - Create a custom role that includes permissions for Compute Engine, Cloud Functions, and Cloud SQL at the organization level. - Assign the custom role to the Google group.;- Create a custom role with Compute Engine, Cloud Functions, and Cloud SQL permissions in one project under ByteStream Studios' organization in Google Cloud. - Use the “gcloud iam roles copy” command to duplicate the role across all future projects within the organization. - Assign this role to developers in each project.;- Add all developers to a Google group using Google Groups for Workspace. - Assign the predefined Compute Admin role to the Google group at the organization level.;- Add all developers to a Google group in Cloud Identity. - Assign predefined roles for Compute Engine, Cloud Functions, and Cloud SQL for each project within ByteStream Studios' Google Cloud organization.
Your startup, "PixelStitch," develops a web-based design tool that lets users store and access graphic assets like photos and templates. A freelance designer on your team needs access to a specific project’s cloud resources to list available disk images and snapshots stored in Google Cloud for a new feature they're working on. To ensure security and follow Google's best practices, what should you do?;- Create a custom role, and add all the required compute.disks.list and compute.images.list permissions as includedPermissions. - Grant the custom role to the designer at the project level.;- Create a custom role based on the Compute Image User role. - Add the compute.disks.list to the includedPermissions field. - Grant the custom role to the designer at the project level.;- Create a custom role based on the Compute Storage Admin role. - Exclude unnecessary permissions from the custom role. - Grant the custom role to the designer at the project level.;Grant the Compute Storage Admin role at the project level.
You are managing several hundred microservices running in a Google Kubernetes Engine (GKE) cluster for a social media platform called Snapify, where each microservice is a deployment with specific resource limits set for memory and CPU for each container. Recently, you've observed that many of these microservices are either over- or under-provisioned in terms of their resource limits. To ensure that all the microservices have optimal memory and CPU resource limits, you need to make the right adjustments. What should you do?;Configure a Vertical Pod Autoscaler for each microservice.;Modify the cluster's node pool machine type and choose a machine type with more memory and CPU.;Configure a Horizontal Pod Autoscaler for each microservice.;Configure GKE cluster autoscaling.
A startup named "OrderTrack" has developed an internal application that helps manage and process transactional orders for a chain of stores. This app is used solely by employees working from a single central office. The application needs strong consistency, quick query responses, and ACID compliance for transactions that span multiple tables. The current version of the app is built using PostgreSQL, and the team wants to move it to the cloud with minimal code modifications. Which Google Cloud database solution is the best fit for this scenario?;Cloud SQL;Bigtable;BigQuery;Firestore
Your company, TechNova Analytics, uses BigQuery to store and process large datasets for its data-driven web application. Recently, when submitting a query in BigQuery, it failed with a quotaExceeded error. You need to identify and resolve the cause of the error. What steps should you take? (Choose two.);Use the INFORMATION_SCHEMA views to investigate the underlying issue;Check Cloud Audit Logs for errors to understand the issue.;Use BigQuery BI Engine to analyze the issue.;Configure Cloud Trace to track the issue.;Review errors in Cloud Monitoring for more details on the issue.
Your team at StarLite Ventures has developed a stateless application for their new product, a social platform that connects freelancers with clients. The application will be run directly on virtual machines. Given the unpredictable user traffic, the platform needs to automatically scale its infrastructure based on demand. You are tasked with deploying this application to ensure it can handle varying amounts of traffic efficiently. What should you do?;Deploy the application on a managed instance group and configure autoscaling.;Deploy the application on a Kubernetes Engine cluster and configure node pool autoscaling.;Deploy the application on Cloud Functions and configure the maximum number of instances.;Deploy the application on Cloud Run and configure autoscaling.
A growing e-commerce platform, Shopalot, is looking to deploy a stateless inventory management web application. This application must be accessible only through an internal IP address, allowing secure connections from Shopalot’s private VPC and its on-premises network. The application’s code will be updated several times throughout the day, and the team wants to keep their cloud infrastructure management as simple as possible. Which solution would best meet their needs?;Deploy the web application on Cloud Run with Private Service Connect configured.;Deploy the web application on Google Kubernetes Engine standard edition with an internal ingress.;Deploy the web application on Cloud Run with Private Google Access configured.;Deploy the web application to GKE Autopilot with Private Google Access configured.
TechNova Inc. is facing an issue where they are running out of internal IP addresses in a subnet for their custom mode VPC. The subnet currently has the IP range 10.0.1.0/20, and the IP addresses are primarily allocated to their virtual machines. TechNova needs to ensure that there are enough IP addresses available for their growing number of virtual machines. What should TechNova do?;Change the subnet IP range from 10.0.1.0/20 to 10.0.1.0/18.;Add a secondary IP range 10.1.1.0/20 to the subnet.;Change the subnet IP range from 10.0.1.0/20 to 10.0.1.0/22.;Convert the subnet IP range from IPv4 to IPv6.
Imagine you are a data engineer at Scribbly, a popular online journaling app. Scribbly captures application logs using Cloud Logging to monitor user activity and app performance. Now, the team wants to use SQL to analyze these logs and gain insights into user trends, errors, and system performance. To ensure you're following Google-recommended practices, what approach should you take?;Enable Log Analytics for the log bucket and create a linked dataset in BigQuery.;Develop SQL queries by using Gemini for Google Cloud.;Create a schema for the storage bucket and run SQL queries for the data in the bucket.;Export logs to a storage bucket and create an external view in BigQuery.
Your mobile game platform, "PixelQuest," is hosted on Cloud Run and needs to interact with a Cloud SQL database to fetch player data. Every morning, during peak gaming hours, you notice API quota errors appearing in the Cloud SQL logs. Your project has already reached the maximum allowed API quota. You want to adjust the configuration to reduce the issue. What should you do?;Modify the maximum number of Cloud Run instances.;Modify the minimum number of Cloud Run instances.;Use traffic splitting.;Set a minimum concurrent requests environment variable for the application.
